ITEM_ID,OPC_FULLNAME,DH_BLDG,DH_ROOM,DH_TAG,ITEM_DESC,LOC_ID,COMMENTS,ENABLED,SOURCE,LAT,LON,FREQ,RETENTION
258,CNSI_5502.STM.FLO_CV,CNSI,5502,STM.FLW,Steam Flow,65323,,Y,Cogen,,,15,-1
259,CNSI_L334.CHW.FLO_CV,CNSI,L334,CHWS.FLW,CHW Flow,65323,,Y,Cogen,,,15,-1
260,CNSI_L334.CHW.RT_CV,CNSI,L334,CHWS.RT,CHW Return Temp,65323,,Y,Cogen,,,15,-1
261,CNSI_L334.CHW.ST_CV,CNSI,L334,CHWS.ST,CHW Supply Temp,65323,,Y,Cogen,,,15,-1
262,CNSI_L334.CHWS.FLW_CV,CNSI,L334,SCHWS.FLW,CHW Flow,65323,,Y,Cogen,,,15,-1
263,CNSI_L334.CHWS.RT_CV,CNSI,L334,SCHWS.RT,CHW Return Temp,65323,,Y,Cogen,,,15,-1
264,CNSI_L334.CHWS.ST_CV,CNSI,L334,SCHWS.ST,CHW Supply Temp,65323,,Y,Cogen,,,15,-1
265,ENG1_102.CHWS.ST_CV,ENGR_BLDG_5,102,CHWS.ST,CHW Supply Temp,65324,,Y,Cogen,,,15,-1
266,ENG1_102.STM.FLW_CV,ENGR_BLDG_5,102,STM.FLW,Steam Flow,65324,,Y,Cogen,,,15,-1
267,FACTOR_A-957.HWHS.FLW_CV,FACTOR,A-957,HWS.FLW,CHW Flow,341,,Y,Cogen,,,15,-1
268,FACTOR_A-957.SCHWS.FLW_CV,FACTOR,A-957,SCHWS.FLW,CHW Flow,341,,Y,Cogen,,,15,-1
269,FACTOR_A-957.SCHWS.RT_CV,FACTOR,A-957,SCHWS.RT,CHW Return Temp,341,,Y,Cogen,,,15,-1
271,FRANZ_A173.KWH.MTR_CV,FRANZ_HALL,A173,KWH.MTR,ElectricityDemand,346,,Y,Cogen,,,15,-1
272,FRANZ_A173.STM.FLW_CV,FRANZ_HALL,A173,STM.FLW,Steam Flow,346,,Y,Cogen,,,15,-1
276,FRANZ_C417.STM.TOT.FLW_CV,FRANZ_HALL,C417,STM.TOT.FLW,"Steam Flow, Total",346,,Y,Cogen,,,15,-1
279,LAW_A110D.CHWS.FLW_CV,LAW,A110D,CHWS.FLW,CHW Flow,231,,Y,Cogen,,,15,-1
280,LAW_A110D.CHWS.RT_CV,LAW,A110D,CHWS.RT,CHW Return Temp,231,,Y,Cogen,,,15,-1
281,LAW_A110D.CHWS.ST_CV,LAW,A110D,CHWS.ST,CHW Supply Temp,231,,Y,Cogen,,,15,-1
282,LAW_A110D.STM.FLW_CV,LAW,A110D,STM.FLW,Steam Flow,231,,Y,Cogen,,,15,-1
283,LAW_A403.STM.FLW_CV,LAW,A403,STM.FLW,Steam Flow,231,,Y,Cogen,,,15,-1
284,LAW_A403.STM.TOT.FLW_CV,LAW,A403,STM.TOT.FLW,"Steam Flow, Total",231,,Y,Cogen,,,15,-1
734,CYCLOTRON_2FL-RF.SCHWS.ST_CV,CYCLOTRN_ADD,2FL-RF,SCHWS.ST,CHW Supply Temp,331,,Y,,,,15,-1
735,CYCLOTRON_2FL-RF.CHWS.ST_CV,CYCLOTRN_ADD,2FL-RF,CHWS.ST,CHW Supply Temp,331,,Y,,,,15,-1
736,CYCLOTRON_2FL-RF.SCHWS.RT_CV,CYCLOTRN_ADD,2FL-RF,SCHWS.RT,CHW Return Temp,331,,Y,,,,15,-1
737,CYCLOTRON_2FL-RF.CHWS.RT_CV,CYCLOTRN_ADD,2FL-RF,CHWS.RT,CHW Return Temp,331,,Y,,,,15,-1
738,FACTOR_A-957.SCHWS.ST_CV,FACTOR,A-957,SCHWS.ST,CHW Supply Temp,341,,Y,Cogen,,,15,-1
739,FACULTY_B367.STM.FLW_CV,FACULTY_CTR,B367,STM.FLW,Steam Flow,342,,Y,,,,15,-1
740,GCHW.RT_CV,GEOLOGY,,CHWS.RT,CHW Return Temp,348,,Y,Cogen,,,15,-1
741,GCHW.ST_CV,GEOLOGY,,CHWS.ST,CHW Supply Temp,348,,Y,Cogen,,,15,-1
742,GCHWF_CV,GEOLOGY,,CHWS.FLW,CHW Flow,348,,Y,Cogen,,,15,-1
743,GSTMFL_CV,GEOLOGY,,STM.FLW,Steam Flow,348,,Y,Cogen,,,15,-1
744,GCHWRT_CV,PUB_AFFAIRS,A379A,CHWS.RT,CHW Return Temp,243,,Y,N.C.,,,15,-1
745,GCHWST_CV,PUB_AFFAIRS,A379A,CHWS.ST,CHW Supply Temp,243,,Y,N.C.,,,15,-1
746,GONDA_B101.STM.FLW_CV,GONDA_CENTER,B101,STM.FLW,Steam Flow,349,,Y,Cogen,,,15,-1
748,HSTMFL_CV,HAINES_HALL,A45,STM.FLW,Steam Flow,362,,Y,,,,15,-1
750,HOSP_P602.UTIL.STMF_CV,RR/UCLA_MC,P602,STM.FLW,Steam Flow,65210,,Y,,,,15,-1
751,HUMANITIES_B43.120STM.FLO_CV,HUMANITIES,B43,STM.FLW,Steam Flow,226,,Y,Cogen,,,15,-1
752,HUMANITIES_B43.PCHW.FLO_CV,HUMANITIES,B43,PCHWS.FLW,Processed CHW Flow,226,,Y,Cogen,,,15,-1
